NAME                                  READY   STATUS      RESTARTS   AGE   IP            NODE                       NOMINATED NODE   READINESS GATES
minio-5b44f6c554-rj6gc                1/1     Running     0          52m   10.244.0.8    trpc-agent-control-plane   <none>           <none>
minio-bucket-init-sqnvl               0/1     Completed   0          45s   10.244.0.23   trpc-agent-control-plane   <none>           <none>
mock-openai-568d97cc46-b22gx          1/1     Running     0          52m   10.244.0.10   trpc-agent-control-plane   <none>           <none>
postgres-6b7b9b76c4-24ggs             1/1     Running     0          52m   10.244.0.6    trpc-agent-control-plane   <none>           <none>
redis-5b8fb6d844-m5lfx                1/1     Running     0          52m   10.244.0.7    trpc-agent-control-plane   <none>           <none>
redpanda-7dfd665744-xzz44             1/1     Running     0          52m   10.244.0.5    trpc-agent-control-plane   <none>           <none>
trpc-agent-service-75b8fbd89b-95bb8   2/2     Running     0          38s   10.244.0.26   trpc-agent-control-plane   <none>           <none>
trpc-agent-service-75b8fbd89b-jpvnm   2/2     Running     0          36s   10.244.0.27   trpc-agent-control-plane   <none>           <none>
trpc-agent-service-migrate-6t6wn      0/1     Completed   0          42s   10.244.0.24   trpc-agent-control-plane   <none>           <none>
